Block_ID Up Down Public_Key_Requester Total_Up_Requester Total_Down_Requester Sequence_Number_Requester Previous_Hash_Requester Public_Key_Responder Total_Up_Responder Total_Down_Responder Sequence_Number_Responder Previous_Hash_Responder
cuuiuE0RGeyXDpTJ0/aX4I06H+I= 5 0 so03tt4xwa+wHrLMaLRmd8XUAjwwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 17 0 2 yyZ/FI7clAz4As2c1u4t7bD8Zz4= mfdVAw5o+HKG3uGsPbYf6BDsxx0wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 8 12 2 ffCr41psEE8g8jLD7aV7NcS6+AI=
fb6u5BTnBnltuByj57+WUKIBFTk= 5 0 so03tt4xwa+wHrLMaLRmd8XUAjwwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 22 0 3 cuuiuE0RGeyXDpTJ0/aX4I06H+I= wCMf/UdzDU6JmHTaZFUagqC1VB0wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 11 1 yU6LobWwQhZ/4xqlzXpfOsBXei4=
ffCr41psEE8g8jLD7aV7NcS6+AI= 8 0 mfdVAw5o+HKG3uGsPbYf6BDsxx0wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 8 7 1 nRP98PlK9TSWtaw4MkcYoDUpURQ= N6Tkk0J/vUXZJ6YNWQcG/e7lrBAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 1 13 1 6rGonN9UdkbsTmqY8fcvLDtyX0w=
f+Kf+m05TFDXNokUku/HAhyLNy4= 5 0 ghTQM2LWToQ3O7iuni52GkPFyjgwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 5 0 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA= Vggih6NvP1nWyPhVQfT8v2HjSJ8wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 12 1 LGrX43WJbKCAC+C9h1IMo4ZKlYE=
grV9NYzKUFRMkFO50sOTI0bW/A8= 5 0 RRMKb44iQWZcRlkI0oKjwg/uVfswMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 10 0 1 5G3Z57HTdV//4koc8CzZcV+a+58= jXlhMuk5rtow77cpU80eJAbrzR0wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 1 25 4 LnYQTzK+udK4b3Utpzp2RFVi4VM=
hi5XQ/sA15Yl/RrXFQlPrjxD2A8= 5 0 fpAdQ9DmoabwXuTo/nm9fOU57JAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 11 0 1 0mtHVVZ5wbE31rs0ibHNPhKOyd4= Otx4UsUgMTQzGHSgbsPEgdlDXPIwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 6 11 2 yU6LobWwQhZ/4xqlzXpfOsBXei4=
kOq4CFi+5BtajGeMNg5qJ64sbug= 5 0 8xD21gRFfkKNnNv5KkhfXGfcpBUwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 10 5 2 9rUiV6ldDcl8yBznE/wOmguq6J4= rDv0o3X9GPmqjzVLI7wA0tHiFUYwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 10 1 kxJkmkKJGAiyTN0/4M+YpCnST54=
kg4XDvcOQV1JHmHX7yBKaY/8zYs= 5 0 J10Rf+T4QhWliasawf+YGvAJYmUwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 15 0 2 mHkR/MLEUxbqASNKOjIRE+QiF1A= 8FTDlnQkqJiv7BFpZPR+eoCqpP0wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 17 17 5 RlU6MIYvZZ6LIVvbRA5kP7IFMSw=
kxJkmkKJGAiyTN0/4M+YpCnST54= 5 0 8xD21gRFfkKNnNv5KkhfXGfcpBUwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 5 0 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA= rDv0o3X9GPmqjzVLI7wA0tHiFUYwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 5 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA=
mHkR/MLEUxbqASNKOjIRE+QiF1A= 5 0 J10Rf+T4QhWliasawf+YGvAJYmUwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 10 0 1 FQbdwLyjfyZAtAjGaWfIwt5Vb1g= ryZy1Bg5Va5cd6W8ofrl9V5SGH8wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 10 5 2 9rUiV6ldDcl8yBznE/wOmguq6J4=
