Block_ID Up Down Public_Key_Requester Total_Up_Requester Total_Down_Requester Sequence_Number_Requester Previous_Hash_Requester Public_Key_Responder Total_Up_Responder Total_Down_Responder Sequence_Number_Responder Previous_Hash_Responder
DnaQWlp8sYeABOiqtDpuijdaGHA= 1 0 +pGkOZ+o+zYOsqOVhpmqDr1ICDkwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 3 0 2 5vJRslTqdCMJsAgrCeQ4fQddiLI= 40JWxn1rR5N1f4NAJh4P/yYDpSIwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 6 5 ccw/njCtWiumeNboxql2CWn+uTU=
DuR7GlGTYuUx1fluIJrnUW9n1Yw= 1 0 j/wVxn+ZE2gk0FBD6VOhaMFwUmkwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 21 0 12 /V3WlaJGhuvckqYi++BvDGinA/4= h8VAxpcZTxx6B4A9p1ifbYbqFxMwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 12 13 21 /V3WlaJGhuvckqYi++BvDGinA/4=
DyTb4hQ0JdiRQn6b4trS266rQWg= 1 0 9nT0PL4tbQc83imK5AohSjfV+VowMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 26 35 38 ybZLBhEQeECDywKaZN37Hqj8P1Q= SXUrZ3sKDNK7uYJnh4OYA8ekFHkwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 15 33 14 ybZLBhEQeECDywKaZN37Hqj8P1Q=
D1L5gvIWhV8ZlPGBH7v4kcY+8bs= 2 0 TqMTuOf4ZBLdQi1nyckUmYsmkXwwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 16 3 13 2hBs6NaHstQUX0Xz7jxswU//iik= zVI68ZRxi1PWP3GgF0pvZtrCM2swMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 13 21 15 N4R2as16ToYIbZ6KaPhjta9q9S4=
D8jCHLjMkQ19PpS0PpLuNy/h2pE= 1 0 6keQdNKIlTvTthqGDqJBntSUhUYwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 14 0 4 lHHwQCCyROqUAZUDbGjeHopR48M= lxAhRPCkqhaKyXmNvA8w5CVBY1MwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 12 12 14 e1bVfZxPjHTxkA1sxDg8WAFuxqk=
D9nHh7WRMl80RsBJbtj5/LJqGa8= 1 0 ILJmkZasgDoErw242DjsnmkcEo0wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 4 5 8 zEGg1BD4Kwn3doR0xQ1pe9pmNY0= oJk8BxCxM4KysOJUfIkbNcWKbrowMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 2 1 zEGg1BD4Kwn3doR0xQ1pe9pmNY0=
EO3B9vV+suQiJRrVAAdWIIBVHvA= 1 0 OV16nemaTI+X4dLhtXExddWVQKUwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 38 28 47 hQE3mbLQ/0pNapmw1tTaraVW7dc= bJGILUORqSJyVlrt45ijukaZ2U0wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 6 38 38 C5IOmIH6gSlASDTF/0auJs/DqGU=
EQEEWk8gLjNUQtIgO3e1JUksG/c= 1 0 YqgSlXJr7GJ4Ivo81JUz+VtNTzkwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 5 12 16 obRV5sHH2ebhKf9YD8l65K2I7g8= O96OrjxK3M9XoR0+x7esDh8xfoEwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 2 25 20 obRV5sHH2ebhKf9YD8l65K2I7g8=
ESjZ1Z/Gmfr8/4thD1en/M6nkVY= 2 0 9RngRyD3oPq5HJlFntphkbTBOgUwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 7 7 8 +b1UQWWs+dk+DxvrbbGkUkUjdJE= zVI68ZRxi1PWP3GgF0pvZtrCM2swMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 2 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA=
EVheYoNUnM6iZt3H1Q+nxENyFGU= 1 0 oIPnyGV53lW2faI0aXpLMQH9ZsYwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 1 0 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA= DWnl2yLLciW+CKE+cg1OK3g8EtYwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 1 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA=
EdVCGFz2SIeeecDDVb0yqAfI/xc= 1 0 tlsPispJjk23sEt4DG1kygUr5TowMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 1 0 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA= 9nT0PL4tbQc83imK5AohSjfV+VowMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 1 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA=
Ef5FYbcfZAOF4YdA5GNrdQZ6RbM= 1 0 C8PBFLrrtFrYujqCKE4WJvB7Kp4wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 8 0 5 TlkP18hRFLQhVQWTmO6Axm2tJJY= lxAhRPCkqhaKyXmNvA8w5CVBY1MwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 14 14 18 AZTuEbq8OxF784mLAuSdOpciDmI=
ElUklQXCS1SoZZpsdckZ4TTTpDI= 1 15 9nT0PL4tbQc83imK5AohSjfV+VowMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 29 52 43 BmUoU4vVr8KRhExK9XQ2cwu0Gu4= VV16ofPwNXgTG2Pet/tpiZm8FaIwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 16 1 1 pb5BKv5PBF7QLq9eko78RY/vl94=
EoJY/oK4KEgKKD7p2hP15qLG1G0= 1 0 o907g/9/5KRmHj1NYjLbA29lcdAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 1 0 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA= tBEg6pcknsEDF9C4jQDV+V4nVtYwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 5 2 6 1LeShZFD21rXWLzGMupyXRuIh0c=
E82pXHSgDYPQk/5ROE6iNt4daMA= 1 0 OV16nemaTI+X4dLhtXExddWVQKUwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 54 28 54 tcqWO7Pb9wqU0vI39q8bQ1pKgQ8= 0GqNStWnpcmBfZ9gjiVyWF1db+4wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 1 48 33 rxIQm1BkshPCtQzeK8GsmRQZVy0=
